,상호명
0,애플하우스 이수
1,원조부안집 이수점
2,세녹
3,스시로로
4,방배김밥
5,전주전집
6,이수통닭 본점
7,소담촌 사당직영점
8,호우양꼬치 이수점
9,호요
10,훈감동
11,오센
12,라화방
13,이수회관
14,신사펍 이수점
15,삼육가 사당역1호점
16,딥다이브
17,비엔나커피하우스 이수역점
18,남미플랜트랩
19,올라아보 이수본점
20,리에또
21,갈비연구소
22,디피스트
23,유정우함흥냉면
24,곱창나라
25,청와옥 사당직영점
26,도너츠윤 방배점
27,그릴진 이수직영점
28,바른식 시골보쌈&감자옹심이 사당역별관점
29,정작가의막걸리집
30,리틀크레이지피자
31,쟝블랑제리 이수직영점
32,방배양곱창
33,어사출또 이수역점
34,다피타시그니처
35,강고집 사당본점
36,스타벅스 이수역점
37,개화
38,부엌쟁이
39,태양커피
40,초동집 본점
41,페니힐스
42,초와밥
43,요란한부엌
44,농부쌈밥
45,육촌 이수본점
46,가마솥손두부
47,도쿄빙수 이수점
48,소백양훠궈샤브
49,카페노티드 서래
50,도어이스케이프 이수역점
51,남궁야
52,미소의집
53,구름떡
54,팬쿡 이수점
55,단아한정식
56,규스홈 레스토랑
57,로우슬로우
58,조가네갑오징어 사당직영3호점
59,월량
60,이수곱창
61,37.5 동작이수점
62,라무진 이수점
63,태양커피 사당점
64,파니모들
65,김재운초밥사랑 이수점
66,헬무트
67,포차천국 이수역점
68,대구형제막창 방배점
69,역전할머니맥주 이수역점
70,낯선한식븟다
71,라시에스타
72,맥도날드 이수점
73,정담은
74,한양왕족발
75,머치커피
76,굴뚝집 사당본점
77,마왕족발 이수역점
78,본때 이수점
79,양양메밀막국수
80,토방소곱창
81,금홍
82,구뜰집
83,스시사구
84,크래프트한스 이수점
85,순대만드는집
86,용용선생 이수점
87,인기명 이수점
88,서민준밀밭멧돌검정콩국수 이수역점
89,홍미단
90,곱분이곱창 이수점
91,남성집
92,미소네
93,코다차야 사당점
94,명가설농탕 이수점
95,통영바다풍경 방배1호점
96,막걸리학교
97,주
98,스타벅스 이수역사거리점
99,싱싱오동도 산아나고산꼼장어 숯불구이 이수방배본점
100,호시라멘
101,이태리양조장
102,현고대닭발 사당점
103,카페브르브르
104,수향가 사당직영점
105,모소리 사당점
106,돈키
107,수연숯불갈비
108,참오리
109,남해안활어
110,속초어시장 방배점
111,소라노호시
112,교대이층집 사당점
113,보태닉마켓
114,콘크리트
115,정애맛담
116,토리고야 이수역점
117,낙성곱창
118,이고집쭈꾸미 이수점
119,미스피츠
120,언니가 숨겨놓은 과자상자
121,조개창고 방배점
122,샤브리샤브샤브
123,엔제리너스 이수역점
124,스몰월드 이수점
125,루키더셰프
126,장미맨숀 이수점
127,리프레셔스
128,오다가다
129,쿠킨스테이크 이수점
130,맛찬들왕소금구이 이수점
131,구구향훠궈 이수점
132,도쿄하나 사당점
133,쇼보 이수점
134,군산 은모래해물탕아구찜 본점
135,경성상회 방배점
136,고놈들
137,100족발
138,통영해물보쌈
139,무삥과팟타이
140,여진족
141,해이케이크샵
142,기꾸참치
143,남도술상
144,바른황소곱창
145,시스트로
146,차이루
147,영풍치킨 사당본점
148,산쪼메 이수점
149,카페오쎄
150,요코쵸
151,유미카츠 이수방배점
152,땡초우동인포차 이수본점
153,곽반장
154,호왕
155,스시코에
156,명동칼국수
157,정담이깃든사랑채
158,1357철판삼겹
159,릿 잇 타미
160,팔각도 이수역점
161,김부삼 사당역점
162,이수한우명가
163,스시세이
164,용범이네인계동껍데기
165,올리브에비뉴
166,서호김밥 본점
167,24시비사벌 전주콩나물국밥
168,카페페라
169,한신포차 이수점
170,복돈이부추삼겹살 사당본점
171,차이797 서래마을점
172,스타벅스 이수자이점
173,묘오또
174,설빙 이수역점
175,메종엠오 플래그십 스토어
176,이모네전집
177,7%칠백식당 방배직영점
178,여수밤바다
179,정원에프엔비
180,솔라스
181,선화의고기 방배본점
182,카페모펀
183,장수원
184,경성모밀
185,미스사이공 이수점
186,버거307 이수점
187,한울갈비
188,미분당 이수점
